logFC	AveExpr	t	P.Value	adj.P.Val	B
PASK	-1.38344517190344	5.377113344556	-10.9805102143395	3.27704741595882e-12	1.03882403085895e-09	17.8880857021909
VPS51	-1.37545734258333	9.26222252983333	-10.9079193202283	3.86341600433906e-12	1.20745353713076e-09	17.7271336562942
TSPO	1.48095637119444	11.0472874267037	10.8741334906627	4.17197896846375e-12	1.27784910888122e-09	17.6519812014777
NOB1	-1.1227518340119	6.91118971708862	-10.8685047624003	4.22578808667397e-12	1.27784910888122e-09	17.6394458903532
AGFG1	1.44795222894246	6.82089667721296	10.8624696340198	4.28427244930669e-12	1.27784910888122e-09	17.6260007884794
CBX7	-1.2447874175	7.96062597866667	-10.8507445770098	4.4002774288436e-12	1.27784910888122e-09	17.599865632017
CFAP20	-1.04123139627182	7.22544967736376	-10.8473779728526	4.43417671851529e-12	1.27784910888122e-09	17.5923580554577
LOC100996740	-1.65648727999603	9.90790768041799	-10.8052942895152	4.88121699408285e-12	1.38864365511152e-09	17.4983821795239
TRAC	-2.38916646140873	9.86259743339154	-10.7567986128515	5.45405213881528e-12	1.53196730329508e-09	17.3897920532411
DHRS3	-1.00509586143188	6.80341444962125	-10.7194005546193	5.94251947666344e-12	1.62795687885385e-09	17.3058347212311
GPRASP1	-1.67086380969444	5.82452943517725	-10.6793503575597	6.51551744833524e-12	1.7631625875434e-09	17.2157138749731
CKAP4	1.5193786064217	7.15186722257601	10.6369162668448	7.18460982792409e-12	1.89793442954328e-09	17.1199919854132
RHOH	-1.45921340244841	8.03132854637831	-10.6025460006764	7.77790458418566e-12	2.00688026422186e-09	17.0422814437185
LOC100996809///HLA-DRB4///HLA-DRB1	-2.27140854935714	10.9102679867421	-10.5956023717734	7.90373142221452e-12	2.01590575010276e-09	17.0265625712723
EVL	-1.95622920425132	8.69532770839242	-10.5502304965268	8.7788806653844e-12	2.16448179960978e-09	16.9236893348384
BST1	1.79423489125992	8.22337459713228	10.5425287699344	8.93700686994513e-12	2.17925475213277e-09	16.9061991743297
THEM4	-1.43345218186508	5.79079355197751	-10.5179305159993	9.4618475937662e-12	2.25761718393196e-09	16.8502839927053
LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	-2.36482791824735	10.5602411954453	-10.3974144049303	1.25281519151952e-11	2.86597619585755e-09	16.5751435292826
PEBP1	-1.35852745413023	7.6652826887138	-10.3927359142026	1.26658970021023e-11	2.86792096404744e-09	16.564422503455
HPSE	1.30781797466865	7.08522052799074	10.363547784201	1.35609829387771e-11	3.0259548812669e-09	16.4974687362246
MCTP2	1.43163573238604	7.10592124432994	10.3611738866292	1.36365699921897e-11	3.0259548812669e-09	16.4920182051168
CD27	-1.92730538222024	9.10577914099603	-10.350454690998	1.39832857375054e-11	3.07216941104204e-09	16.4673970574877
CUTA	-1.45061154005092	9.41053207299691	-10.3451791501067	1.41572246735125e-11	3.07989034809061e-09	16.455273787116
TDRD9	3.99216332515242	5.85327551039839	10.3214854983245	1.49661540057729e-11	3.22426172221458e-09	16.4007784861917
F5	1.74198016686309	6.79078497862302	10.3081204712781	1.54431677545658e-11	3.29503742763284e-09	16.3700050940323
CDK5RAP2	1.31894569872553	6.52423517082584	10.28196374619	1.64222677727314e-11	3.47057258930391e-09	16.3097076538986
SNURF///SNRPN	-1.13191819588095	7.26105497314286	-10.2729450277439	1.67743971308231e-11	3.48343645009248e-09	16.2888956492169
ACER3	1.76792398184722	5.60830977906614	10.2723701694977	1.67971023055383e-11	3.48343645009248e-09	16.2875687024109
SIDT1	-1.77681685182176	6.30157764648038	-10.2564076523688	1.74402951836736e-11	3.56112013434201e-09	16.2507042952296
IL10RB-AS1	1.91681746597619	5.58109918501587	10.255134741926	1.74926586139378e-11	3.56112013434201e-09	16.2477630869809
GLYR1///SEPT6	-1.74762384522619	8.94465262398016	-10.2267007300838	1.87052305303998e-11	3.73936095017633e-09	16.1820050770244
HLA-DMB	-1.83707928636401	8.30763392724573	-10.2209529557402	1.89606158146269e-11	3.74937333083309e-09	16.1686989959283
CDC25B	-1.6667935780873	8.93474105118518	-10.2001700718988	1.99141965671155e-11	3.81884430245172e-09	16.1205488544526
DPEP2	-1.68029025717857	9.12027791994048	-10.1991273258792	1.9963314064191e-11	3.81884430245172e-09	16.1181314410277
CD3E	-2.6233138297996	8.94260465624735	-10.1907845273554	2.03607835059114e-11	3.82661792667398e-09	16.098784834699
ABHD14B	-1.4633962531621	7.46407689943082	-10.1884252542281	2.0474646548418e-11	3.82661792667398e-09	16.0933120444324
SEPT6	-1.24385570898214	7.40504370346032	-10.1804135931817	2.08661905870911e-11	3.82661792667398e-09	16.0747217436185
GRB10	2.05499234452381	5.55642669231746	10.1605255308937	2.18716109729107e-11	3.97812334007285e-09	16.0285352802334
FGF13	2.65377124227315	4.34799862470679	10.1464123816718	2.26150410515881e-11	4.0436426249188e-09	15.9957270603926
AMPD2	-1.36884056363248	8.30012483011457	-10.1447728846297	2.27030639634204e-11	4.0436426249188e-09	15.991914019176
SEPT1	-1.6987721010214	7.19152328199178	-10.1426088303775	2.28197867611248e-11	4.0436426249188e-09	15.9868804295769
PJA1	-1.07757670296356	7.3747216841431	-10.1400104611897	2.29607467661004e-11	4.0436426249188e-09	15.9808357732925
SLC26A8	1.88197578078042	5.58587708961464	10.1295155237834	2.35392170157811e-11	4.08074394984517e-09	15.9564116747312
PDCD4-AS1	-1.37330276701653	5.66615976352293	-10.1109772785258	2.45977210817e-11	4.23118938606917e-09	15.9132319818012
LEF1	-1.50273838260969	6.62423042309165	-10.0700828236005	2.71083627692249e-11	4.57245098215896e-09	15.8178125793321
LPCAT2	1.09339863198148	6.03208148297266	10.0686675848372	2.719979854191e-11	4.57245098215896e-09	15.8145062708213
PLAC8	1.83651149912037	11.7479510875123	10.0207674164341	3.04879804278807e-11	5.04871854996024e-09	15.7024383724155
SULT1B1	2.12945760915741	6.34433212722046	10.0109874454415	3.12078643564329e-11	5.12964822273516e-09	15.6795181767831
RPS4X	-1.34013921522222	12.8842217875556	-10.007109763283	3.14980849057516e-11	5.13928311807815e-09	15.6704268504982
GSR	1.08819460424735	6.60480423233113	10.0018129247497	3.18989876181908e-11	5.16175077368808e-09	15.658004927935
FAM102A	-1.03098218914154	5.99730806107848	-9.99751739557239	3.2227934347601e-11	5.16175077368808e-09	15.647928395448
RCAN3	-1.53503559594506	5.9506721542848	-9.99614662722018	3.23336348599659e-11	5.16175077368808e-09	15.6447122863844
ICAM2	-1.37973179850595	9.01839239412302	-9.97278362679692	3.41907044304364e-11	5.41922665222417e-09	15.5898579893112
IL2RB	-2.38181706011706	8.66624798199471	-9.94960324202044	3.61411937477667e-11	5.68775240612017e-09	15.5353581031752
LBH	-2.09788026075661	8.52665463531922	-9.93552225757226	3.73812282574054e-11	5.84147503543539e-09	15.5022158370028
CARD6	1.58834724218651	8.54631480376455	9.91908934884747	3.88835561474737e-11	5.99184799244752e-09	15.4635032952701
BCL2A1	2.95435754158171	8.65629812766775	9.87945670639847	4.27661693540202e-11	6.43272154108692e-09	15.3699837045373
ATP6V0E2	-1.32819114518338	7.18205049626054	-9.87720375065729	4.29984417559724e-11	6.43272154108692e-09	15.3646609828714
PRKCQ	-1.5306049502583	7.00509811466426	-9.87531625545097	4.31940292754372e-11	6.43272154108692e-09	15.3602011409066
LAT	-1.44001797682804	7.80997335061552	-9.87060501939241	4.36861998544256e-11	6.45307595548408e-09	15.3490671166567
GALNT14	1.65509280424241	7.14691588216684	9.8684586434048	4.39123239872959e-11	6.45307595548408e-09	15.3439935887607
PCED1B	-2.02636891169444	7.97600715125463	-9.85539240747323	4.53149336103237e-11	6.61538405798081e-09	15.3130943632747
ANXA1	1.51845852792063	8.66181204805291	9.84973590528021	4.59362673547933e-11	6.66225995165271e-09	15.2997104750633
MIR6890///QARS	-1.17862489044444	9.2538635864828	-9.80286442065532	5.1432031104262e-11	7.37980106109342e-09	15.1886375772055
CR1L///CR1	1.68886557564993	7.4191413927691	9.80192456472406	5.15488582455827e-11	7.37980106109342e-09	15.1864072672244
LY9	-1.70889618041931	7.42196657978351	-9.77590005427166	5.4893877457679e-11	7.72233317801736e-09	15.1246017623677
MBOAT2	1.16027951019643	6.61433499412302	9.77521010997747	5.49855178966536e-11	7.72233317801736e-09	15.1229619435424
NAIP	1.86925603706547	7.04108105923413	9.73830579464403	6.01223104292396e-11	8.39065451839513e-09	15.0351541187373
SERPINB2	2.26737434081481	5.47692663619489	9.7201473303007	6.28273976887107e-11	8.71337471695306e-09	14.9918799328278
HVCN1	-1.37293200843122	8.84097822873721	-9.71079526802144	6.42688117016966e-11	8.85791883019036e-09	14.9695748725081
RNASE2	2.64395939553572	9.40552868819841	9.70498183168854	6.51818206845381e-11	8.87352515944724e-09	14.95570349206
PPP1R16B	-1.28430806513294	7.03962448972355	-9.69634128158336	6.65633970151838e-11	9.006352315652e-09	14.9350777356203
BCL11B	-1.72875609380688	6.86763767324824	-9.68116834339562	6.90623390865525e-11	9.28783820806425e-09	14.8988336262933
LCK	-2.42579089435978	8.77684834969753	-9.67453786179213	7.01842779833517e-11	9.38186221958178e-09	14.8829851820071
DENND2D	-1.12359711261718	7.54247489287971	-9.67099132549902	7.0792015189391e-11	9.39899898967749e-09	14.8745056140632
ATP13A3	1.22157912736905	6.20926028128571	9.66402744013466	7.20010516558357e-11	9.45386589492897e-09	14.8578502998725
RPL22	-1.53381334049603	10.6492485143347	-9.64294400186004	7.57917451078341e-11	9.83519780083531e-09	14.8073848156557
P2RY10	-1.95019625754121	6.17331109832112	-9.59524443867003	8.51390809432734e-11	1.08982974265371e-08	14.6929840421136
NOG	-2.29389783678373	4.70133615719709	-9.5937149606362	8.54575823441843e-11	1.08982974265371e-08	14.6893105984418
JADE2	-1.04039696901273	6.60839859304817	-9.58811049299258	8.6635110617656e-11	1.09229153670783e-08	14.6758472328311
MIR3654///EEF1G	-1.14626619372222	11.9476629958148	-9.53576657815331	9.84666534701593e-11	1.2211675586366e-08	14.5498941541171
ATIC	-1.4829053320582	7.70738640605467	-9.53494301778863	9.86654592782319e-11	1.2211675586366e-08	14.5479094280627
RGL4	2.48893753432738	7.76349706319841	9.5175986915998	1.02948987038732e-10	1.25518572658761e-08	14.5060889767277
CASS4	-1.43291516379564	5.49579373059392	-9.49390845370644	1.09108786847767e-10	1.32301856838905e-08	14.448900171039
LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1	-1.35002483773611	9.27049725671296	-9.47548854001097	1.14157625283116e-10	1.36927443515262e-08	14.4043804723187
MIR181A2HG	-1.52327676855047	5.78220647947524	-9.45947297871054	1.18741236938733e-10	1.40902034634786e-08	14.3656338393558
OCIAD2	-1.24183067956137	7.47827563359066	-9.45376180961045	1.20420878985793e-10	1.41871152591496e-08	14.3518081718936
CTSD	1.08317977471418	7.08247130303884	9.45236073179297	1.20836628390233e-10	1.41871152591496e-08	14.3484157375338
CD247	-1.39204271163294	7.64127142213624	-9.4407382900123	1.2434246129504e-10	1.45218906112471e-08	14.3202638278992
ZBTB4	-1.07350625347463	7.7807254528561	-9.42940330546894	1.27861719702412e-10	1.47773518760235e-08	14.2927902289641
SELM	-1.29422481808013	6.1480573865812	-9.41755176972396	1.31650295784974e-10	1.50106745534566e-08	14.2640456460631
ABHD14A///ACY1	-1.07487758051004	7.11773174799581	-9.41594959173531	1.32171191677509e-10	1.50106745534566e-08	14.260158253225
EIF3G	-1.1386663177738	9.47211544876984	-9.40880271372818	1.34520535307273e-10	1.51523384693827e-08	14.2428133398264
WSB1	1.26437983019048	6.98427086059524	9.38468877004461	1.42766928029683e-10	1.57620191264265e-08	14.1842386519044
C3AR1	1.6213447307996	8.47008255429233	9.38372710582209	1.4310630341672e-10	1.57620191264265e-08	14.1819010286309
DDX24	-1.10925978033862	7.604087664903	-9.3832257762293	1.43283551449673e-10	1.57620191264265e-08	14.1806823408884
CLIC3	-2.42095691993066	6.45799071981091	-9.38301900596068	1.43356721606554e-10	1.57620191264265e-08	14.1801796906137
FXYD5	-1.23247594974008	10.2334564167116	-9.38037348592968	1.44296271989323e-10	1.57620191264265e-08	14.1737480162052
ANXA2R	-1.13913039589153	7.21652847503086	-9.37940837023092	1.44640594592441e-10	1.57620191264265e-08	14.1714014279873
CAPG	1.26092449535053	8.55136536801631	9.37866759624263	1.44905448480893e-10	1.57620191264265e-08	14.1696002183719
KARS	-1.07452101017262	9.54945364150397	-9.36798154932	1.48781700127849e-10	1.6104711833351e-08	14.143608414337
ZAP70	-1.78918080994024	7.65837672281465	-9.36425713830265	1.50157448370712e-10	1.61747270842043e-08	14.1345457800236
SNORD23///GLTSCR2	-1.79568805049603	10.7069783605569	-9.34838240539207	1.56168668769275e-10	1.65018226666201e-08	14.0958962200918
CD1C	-1.17580263739484	6.97472380718783	-9.33335178554054	1.62086837578691e-10	1.69655987069394e-08	14.0592697433875
SNORD83B///SNORD139///RPL3	-1.62168671563889	12.0385161614259	-9.33094256310605	1.63056535007632e-10	1.6986969539058e-08	14.0533960742849
APEX1	-1.4325165444881	8.95039337153175	-9.32607610610921	1.6503336858363e-10	1.71125721909849e-08	14.0415292410017
WDFY3	1.32412251485714	6.21423719781085	9.31355692290215	1.70232131741163e-10	1.7407608310306e-08	14.0109862606584
ANKRD22	3.31117175359325	6.57630224733466	9.2950262781083	1.78236092260014e-10	1.81407182402705e-08	13.965737482274
EEF2	-1.46233463406482	12.0367271121543	-9.29138415585856	1.79853898731839e-10	1.81407182402705e-08	13.9568384537036
ECRP	1.81407087686111	5.6430543356455	9.27695448590034	1.86412293016797e-10	1.86328323515438e-08	13.9215635528503
BEX5	-1.29005229888889	5.42770218791402	-9.2482776100299	2.00180850510136e-10	1.99193411337216e-08	13.8513746328202
ADAM9	1.45000090864418	4.40435786681658	9.24300838637421	2.02821580738476e-10	2.00382893215232e-08	13.8384654709819
UTP4	-1.07328596875117	6.56898808823094	-9.22052674476288	2.14494352631687e-10	2.09675316515292e-08	13.7833443521754
CLEC5A	3.21013545071212	5.4449397289439	9.21605123265784	2.16898797432863e-10	2.11095803291019e-08	13.7723628608384
SLC37A3	1.59270534460714	7.21692013619841	9.20757879255276	2.21526222314591e-10	2.13724646659164e-08	13.751566622238
PYGL	1.28294436859127	9.53033696321693	9.1867182758881	2.33354239681387e-10	2.22746383213202e-08	13.7003208193683
RAB32	1.08774332040873	6.66622697071164	9.17696606824271	2.39103100888336e-10	2.25774374838816e-08	13.6763430769179
TRBC1	-3.02819885259524	10.4426622333016	-9.17306103577402	2.41445453838051e-10	2.27020111045184e-08	13.6667381102181
PHB2	-1.05332497788888	10.644250577037	-9.16338270518048	2.47352326527331e-10	2.306196691446e-08	13.642923880431
RBBP7	-1.04757167934259	8.56678776826808	-9.15035511207806	2.55537101552915e-10	2.34312738985917e-08	13.6108482149558
AES	-1.32006882582804	8.12992921686816	-9.1294882111988	2.69227598093603e-10	2.45850222292059e-08	13.5594225304988
HNRNPA1P10///HNRNPA1	-1.20083231851852	11.7426527279568	-9.11622317443771	2.78317788221964e-10	2.51535068321404e-08	13.5267002516487
TRIM28	-1.32533904010949	8.32594624531109	-9.11545505853864	2.78853658436528e-10	2.51535068321404e-08	13.5248047181826
FGD4	1.57962655781547	5.50205400710317	9.11081960499586	2.82109983473212e-10	2.53442126853059e-08	13.5133637647248
ATP11B	1.81426508423148	6.17737531935758	9.09789590077938	2.91395198606979e-10	2.60728203914873e-08	13.4814506615349
NPIPA1	-1.23587504719047	8.6373689070873	-9.08356566533516	3.020564337296e-10	2.68105290578393e-08	13.4460375438748
NOSIP	-1.29902686338095	9.27679216370635	-9.0698608022901	3.12625003652625e-10	2.73116095710699e-08	13.4121435007049
SLC25A6	-1.4694798293492	10.8939558417725	-9.06119417688824	3.19502427844804e-10	2.77491971405242e-08	13.390696428725
SNORA64///RPS2	-1.10651427993518	12.0213038848457	-9.05568248658305	3.23956403517521e-10	2.79711774087696e-08	13.3770514352082
ZC3H12D	-2.03425664004141	6.72183078884242	-9.04609096982677	3.31858974390309e-10	2.83706350491884e-08	13.3532963077025
LOC101060835///LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB1///HLA-DQB1	-2.19766593387698	10.8403349264577	-9.04562241262295	3.3225002822403e-10	2.83706350491884e-08	13.3521355179603
LDHA	1.60410030476389	10.917623814213	9.04542080035629	3.32418436808877e-10	2.83706350491884e-08	13.3516360404431
NUDT4P1///NUDT4	1.60408405244577	6.76639178747399	9.04361197447673	3.33933269014889e-10	2.83907250553272e-08	13.3471545765516
TSHZ3	1.4100534114516	6.8797111643172	9.01961119303901	3.54713357705704e-10	3.00423259827846e-08	13.287648912768
TRAC///TRAJ17///TRAV20///TRDV2	-2.7291600655	9.77670910177778	-9.00565481354625	3.67399223578448e-10	3.08810180727491e-08	13.2530102849945
CA1	1.6985742213198	6.15439738410029	8.99996601917452	3.72702121566351e-10	3.12085285945559e-08	13.238883500291
MYL6B	1.06334932797487	5.99631793792152	8.99060416663719	3.8159958298738e-10	3.18334388965788e-08	13.2156258991309
HMGB2	1.21640794600794	6.81955638498413	8.9872148694136	3.84873951766166e-10	3.19863407853604e-08	13.2072029299202
MGST1	1.18768192415873	6.04399476042593	8.97684587595597	3.95070526349848e-10	3.27112499242654e-08	13.1814244961389
DDAH2	1.63233043565263	7.37924747735063	8.96035325511273	4.11860311396545e-10	3.39746479921536e-08	13.1403917843507
IMPDH2	-1.43426761547685	8.10462372125705	-8.95194219193921	4.20701561075574e-10	3.45754357046926e-08	13.1194512216473
VNN1	3.62956490142328	6.66868231003527	8.94726604780026	4.25700404111913e-10	3.48571659307873e-08	13.107805102418
BIN1	-1.05684886427513	7.20859974719929	-8.94439249832179	4.28802285733724e-10	3.49820688251152e-08	13.1006469340845
CYP1B1	2.52969036162699	6.77973953740741	8.9285233490483	4.46352658081948e-10	3.61480492074395e-08	13.0610957151869
UGCG	2.43924754051048	8.3186662297946	8.91805477393597	4.58330005288526e-10	3.69830647903723e-08	13.0349857164395
GAS7	1.34037291522024	7.41355737117857	8.91076158363229	4.66867718099921e-10	3.75099646353484e-08	13.0167867083515
ESYT1	-1.5329633811627	8.34991090746561	-8.90960148953206	4.68240658133912e-10	3.75099646353484e-08	13.0138912074883
OSGEPL1	-1.04831339776984	5.3219621423545	-8.90302922558488	4.76096916994467e-10	3.78659160864058e-08	12.9974839047351
LOC102724993///LOC101930075///NPIPA8///NPIPA7///NPIPA5///NPIPA2///NPIPA3///PKD1P1///NPIPA1	-1.09499321863997	7.97412354773112	-8.89348289480723	4.8774856022676e-10	3.8596741764917e-08	12.9736415167671
MAL	-1.91047543787103	8.8701851692791	-8.89266157405267	4.88764508154199e-10	3.8596741764917e-08	12.9715896512221
MAN1C1	-1.12949274804166	5.43795662290079	-8.88567907227326	4.9748933251228e-10	3.91464123703812e-08	12.9541418957722
SNORA52///RPLP2	-1.18037319634259	12.1667071579321	-8.87096689640679	5.16396524258197e-10	4.03480242017232e-08	12.9173576267709
CD2	-2.5349179312877	9.4601166735291	-8.8615557516773	5.28874155164506e-10	4.10339772835678e-08	12.8938118611159
SLC40A1	1.17553680010648	7.74122605742901	8.85708070626566	5.3491482636845e-10	4.13580487704387e-08	12.8826115059231
PAQR8	-1.1131765829797	7.68620898216901	-8.82819568628612	5.75636577644238e-10	4.38947617110847e-08	12.8102511878829
UBE2J1	1.13510801666534	7.13223067644533	8.81062028015562	6.01948578860954e-10	4.55721595527544e-08	12.7661672796029
RPL29	-1.21259566616666	11.4179501383333	-8.80933098930058	6.03926420834859e-10	4.55721595527544e-08	12.7629317354434
LOC101928615///FNDC3B	1.36233033781746	7.16090417753439	8.80769600123227	6.06444119071053e-10	4.55721595527544e-08	12.7588283211842
FBL	-1.61856730100595	9.05347334255952	-8.80410592282674	6.12010074210042e-10	4.55721595527544e-08	12.7498168423842
SGMS2	1.41424208267389	4.85638928896741	8.80120265628468	6.16549312638219e-10	4.56292976033351e-08	12.7425280552318
CCR6	-1.51199299417989	5.38853792348501	-8.79701985174105	6.23149564197856e-10	4.57226142455794e-08	12.7320249169021
LINC00959	-1.10106131175727	5.02040671601808	-8.79573045219959	6.25198671051171e-10	4.57226142455794e-08	12.728786720228
HNRNPA1P33///HNRNPA1P10///HNRNPA1L2///HNRNPA1	-1.13167146963889	11.1943286404259	-8.79498051114826	6.26393633648316e-10	4.57226142455794e-08	12.7269032153135
EIF3CL///EIF3C	-1.39604923889881	9.09242080024206	-8.79159538573796	6.31816585325144e-10	4.59672459946392e-08	12.7184003972766
